Movie,Release Year,John Siracusa's Rating
Avengers: Endgame,2019,3.5
Captain Marvel,2019,3.0
Alita: Battle Angel,2019,3.0
Fyre,2019,3.0
IO,2019,2.0
Black Mirror: Bandersnatch,2018,2.5
Spider-Man: Into the Spider-Verse,2018,3.5
Aquaman,2018,2.5
Bird Box,2018,3.0
Avengers: Endgame,2019,3.0
Bad Times at the El Royale,2018,2.5
Maniac,2018,3.0
Vox Lux,2018,2.5
A Star Is Born,2018,2.5
The Favourite,2018,3.0
The Ballad of Buster Scruggs,2018,3.0
A Simple Favor,2018,2.5
Roma,2018,3.5
To All the Boys I've Loved Before,2018,3.0
How It Ends,2018,2.0
Mission: Impossible - Fallout,2018,2.5
Ant-Man and the Wasp,2018,3.0
Ocean's Eight,2018,3.0
Incredibles 2,2018,4.0
Adrift,2018,3.0
Jurassic World: Fallen Kingdom,2018,2.5
BlacKkKlansman,2018,3.0
Climax,2018,0.5
Solo: A Star Wars Story,2018,3.5
The American Meme,2018,2.5
Avengers: Infinity War,2018,3.5
Daughters of the Sexual Revolution: The Untold Story of the Dallas Cowboys Cheerleaders,2018,2.5
Ready Player One,2018,2.0
Summer '03,2018,2.5
A Quiet Place,2018,3.5
Unsane,2018,3.0
Red Sparrow,2018,2.5
Isle of Dogs,2018,3.0
Annihilation,2018,3.0
The Cloverfield Paradox,2018,2.5
Black Panther,2018,3.5
Leave No Trace,2018,2.5
Sorry to Bother You,2018,2.5
Won't You Be My Neighbor?,2018,2.5
Eighth Grade,2018,3.0
Phantom Thread,2017,3.0
Justice League,2017,2.5
Coco,2017,3.5
Thor: Ragnarok,2017,3.0
Blade Runner 2049,2017,3.5
Blue My Mind,2017,2.5
Gerald's Game,2017,2.5
Revenge,2017,1.5
I Kill Giants,2017,3.5
Love Means Zero,2017,3.0
"I, Tonya",2017,3.5
Molly's Game,2017,3.0
It,2017,2.5
mother!,2017,2.0
Lady Bird,2017,3.5
The Shape of Water,2017,3.0
The Dark Tower,2017,2.0
Dunkirk,2017,3.0
War for the Planet of the Apes,2017,2.5
Mary and the Witch's Flower,2017,2.5
Spider-Man: Homecoming,2017,3.5
Cars 3,2017,3.0
Wonder Woman,2017,3.5
The Endless,2017,2.5
Guardians of the Galaxy Vol. 2,2017,3.0
Atomic Blonde,2017,3.0
Baby Driver,2017,2.5
Logan,2017,3.0
Get Out,2017,3.0
Thoroughbreds,2017,3.0
Passengers,2016,2.5
Hidden Figures,2016,3.5
Rogue One: A Star Wars Story,2016,3.0
Moana,2016,4.0
Fantastic Beasts and Where to Find Them,2016,3.0
Baby Driver,2017,2.5
Their Finest,2016,3.0
Arrival,2016,3.5
La La Land,2016,3.0
Kubo and the Two Strings,2016,3.0
The Girl with All the Gifts,2016,3.5
Your Name.,2016,3.0
Finding Dory,2016,3.5
The Red Turtle,2016,3.5
The Handmaiden,2016,2.5
Captain America: Civil War,2016,3.5
Batman v Superman: Dawn of Justice,2016,2.5
10 Cloverfield Lane,2016,3.5
Midnight Special,2016,3.5
Deadpool,2016,2.5
Sing Street,2016,3.0
Star Wars: The Force Awakens,2015,4.0
The Hateful Eight,2015,2.5
Creed,2015,3.0
Spectre,2015,2.0
Into the Forest,2015,2.5
The Martian,2015,3.0
The Wave,2015,2.5
Mission: Impossible - Rogue Nation,2015,3.0
Terminator Genisys,2015,2.5
Jurassic World,2015,2.5
Sicario,2015,3.0
Inside Out,2015,4.0
Mad Max: Fury Road,2015,4.5
Avengers: Age of Ultron,2015,3.0
The Survivalist,2015,2.0
Jupiter Ascending,2015,2.5
Brooklyn,2015,3.5
Shaun the Sheep Movie,2015,3.5
Ex Machina,2014,2.5
The Hobbit: The Battle of the Five Armies,2014,2.0
The Hunger Games: Mockingjay - Part 1,2014,3.0
Interstellar,2014,3.5
Big Hero 6,2014,3.0
John Wick,2014,2.5
Gone Girl,2014,2.5
Predestination,2014,2.5
Guardians of the Galaxy,2014,3.5
Lucy,2014,1.0
Dawn of the Planet of the Apes,2014,3.0
Maleficent,2014,3.0
Edge of Tomorrow,2014,4.0
Breathe,2014,2.5
X-Men: Days of Future Past,2014,3.5
Captain America: The Winter Soldier,2014,3.5
The Lego Movie,2014,3.5
Us and the Game Industry,2013,3.0
The Wolf of Wall Street,2013,3.0
American Hustle,2013,3.0
The Hobbit: The Desolation of Smaug,2013,2.5
The Tale of the Princess Kaguya,2013,3.5
Frozen,2013,2.5
The Kingdom of Dreams and Madness,2013,3.5
The Hunger Games: Catching Fire,2013,3.0
The Counselor,2013,1.5
Her,2013,3.5
Captain Phillips,2013,3.0
Under the Skin,2013,2.5
Gravity,2013,4.0
Snowpiercer,2013,3.0
Don Jon,2013,2.5
Pacific Rim,2013,2.5
Goodbye World,2013,1.5
Man of Steel,2013,2.5
Monsters University,2013,4.0
The East,2013,2.5
Under the Skin,2013,4.0
The Garden of Words,2013,3.5
Iron Man 3,2013,2.5
Oblivion,2013,2.5
Upstream Color,2013,2.5
Side Effects,2013,3.0
Zero Dark Thirty,2012,3.0
Les Misérables,2012,2.5
Django Unchained,2012,3.0
The Hobbit: An Unexpected Journey,2012,3.0
Life of Pi,2012,3.5
Wreck-It Ralph,2012,3.5
Skyfall,2012,3.5
Argo,2012,3.5
Looper,2012,3.0
The Perks of Being a Wallflower,2012,2.5
Silver Linings Playbook,2012,3.0
The Place Beyond the Pines,2012,2.5
Total Recall,2012,1.5
The Dark Knight Rises,2012,2.5
Beasts of the Southern Wild,2012,3.5
Brave,2012,4.0
Safety Not Guaranteed,2012,3.5
Prometheus,2012,2.0
Indie Game: The Movie,2012,4.0
Moonrise Kingdom,2012,4.0
Steve Jobs: The Lost Interview,2012,3.5
The Avengers,2012,3.0
The Hunger Games,2012,2.5
Chronicle,2012,3.5
The Cabin in the Woods,2011,3.0
Louis C.K.: Live at the Beacon Theater,2011,3.5
Mission: Impossible - Ghost Protocol,2011,3.5
U2: From the Sky Down,2011,2.5
Moneyball,2011,3.5
Tinker Tailor Soldier Spy,2011,3.5
Contagion,2011,3.0
Rise of the Planet of the Apes,2011,2.0
Captain America: The First Avenger,2011,3.0
From Up on Poppy Hill,2011,3.0
Harry Potter and the Deathly Hallows: Part 2,2011,3.0
Haywire,2011,3.5
Super 8,2011,3.5
X-Men: First Class,2011,2.5
Drive,2011,4.0
The Tree of Life,2011,3.0
Make Believe,2011,2.0
Children Who Chase Lost Voices,2011,3.0
Bridesmaids,2011,3.5
Thor,2011,3.5
Hanna,2011,4.0
Source Code,2011,2.5
The Adjustment Bureau,2011,2.5
Sound of My Voice,2011,2.5
La Luna,2011,4.0
True Grit,2010,4.5
The Fighter,2010,3.0
TRON: Legacy,2010,3.0
Skyline,2010,0.0
Unstoppable,2010,0.0
Megamind,2010,3.0
Harry Potter and the Deathly Hallows: Part 1,2010,0.0
Senna,2010,3.5
The Social Network,2010,3.0
The Town,2010,3.0
Black Swan,2010,4.0
The American,2010,3.0
Scott Pilgrim vs. the World,2010,4.0
Salt,2010,2.5
The Secret World of Arrietty,2010,4.5
Inception,2010,2.5
Senna,2010,3.5
Toy Story 3,2010,4.5
Iron Man 2,2010,2.5
The People vs. George Lucas,2010,2.5
Monsters,2010,3.0
How to Train Your Dragon,2010,4.0
Tangled,2010,3.5
Percy Jackson & the Olympians: The Lightning Thief,2010,2.5
Joan Rivers: A Piece of Work,2010,3.5
Exit Through the Gift Shop,2010,3.0
Winter's Bone,2010,4.0
The Book of Eli,2010,2.5
Avatar,2009,3.5
The Road,2009,3.5
Fantastic Mr. Fox,2009,4.5
Where the Wild Things Are,2009,4.0
2012,2009,2.5
Zombieland,2009,4.0
A Serious Man,2009,4.5
Up in the Air,2009,4.0
Julie & Julia,2009,3.5
District 9,2009,3.5
Partly Cloudy,2009,0.0
Terminator Salvation,2009,2.5
Inglourious Basterds,2009,4.5
Up,2009,4.0
Powder Blue,2009,2.5
Star Trek,2009,4.0
X-Men Origins: Wolverine,2009,2.0
Adventureland,2009,3.5
Knowing,2009,2.5
Objectified,2009,3.5
The Girl with the Dragon Tattoo,2009,3.5
Watchmen,2009,3.0
Moon,2009,4.0
Ip Man,2008,3.0
The Reader,2008,2.5
Gran Torino,2008,2.5
A Matter of Loaf and Death,2008,3.0
Quantum of Solace,2008,3.0
"Synecdoche, New York",2008,4.5
Religulous,2008,3.0
The Brothers Bloom,2008,3.5
"Food, Inc.",2008,3.0
The Hurt Locker,2008,4.0
Burn After Reading,2008,3.5
The X Files: I Want to Believe,2008,0.0
Ponyo,2008,4.0
The Dark Knight,2008,3.5
Hancock,2008,3.0
WALL·E,2008,4.0
Presto,2008,3.5
Wanted,2008,2.5
The Happening,2008,1.5
Wendy and Lucy,2008,4.0
Indiana Jones and the Kingdom of the Crystal Skull,2008,1.5
Tyson,2008,0.0
Slumdog Millionaire,2008,3.0
Iron Man,2008,4.0
Forgetting Sarah Marshall,2008,4.0
The Other Boleyn Girl,2008,2.5
In Bruges,2008,3.5
Let the Right One In,2008,4.0
Cloverfield,2008,4.5
Sense and Sensibility,2008,3.0
I Am Legend,2007,3.5
The Golden Compass,2007,2.5
The Mist,2007,2.5
There Will Be Blood,2007,3.0
Helvetica,2007,3.0
Eastern Promises,2007,3.0
Let the Right One In,2008,4.0
Juno,2007,3.5
Into the Wild,2007,3.5
Michael Clayton,2007,4.0
The Pixar Story,2007,2.5
The King of Kong: A Fistful of Quarters,2007,4.0
The Bourne Ultimatum,2007,3.5
Harry Potter and the Order of the Phoenix,2007,0.0
Transformers,2007,1.5
Ratatouille,2007,3.0
Knocked Up,2007,2.5
Ocean's Thirteen,2007,0.0
Death Proof,2007,4.0
No Country for Old Men,2007,4.5
Spider-Man 3,2007,2.0
Grindhouse,2007,3.5
Planet Terror,2007,3.0
Sunshine,2007,2.0
The Lookout,2007,3.5
5 Centimeters per Second,2007,4.5
Zodiac,2007,3.5
Hot Fuzz,2007,3.5
Chasing Ghosts: Beyond the Arcade,2007,0.0
Lifted,2006,0.0
Rocky Balboa,2006,2.0
Letters from Iwo Jima,2006,3.5
The Good Shepherd,2006,4.5
300,2006,3.5
Casino Royale,2006,4.5
The Prestige,2006,3.5
Flags of Our Fathers,2006,3.5
Paprika,2006,3.5
The Departed,2006,4.0
Children of Men,2006,3.5
Cashback,2006,3.5
The Namesake,2006,2.5
Little Children,2006,3.0
Pan's Labyrinth,2006,5.0
The Illusionist,2006,3.5
Mater and the Ghostlight,2006,0.0
Miami Vice,2006,3.0
The Host,2006,3.0
Wordplay,2006,3.0
Superman Returns,2006,2.5
Clerks II,2006,2.5
X-Men: The Last Stand,2006,2.5
Fast Food Nation,2006,0.0
The Da Vinci Code,2006,1.5
Mission: Impossible III,2006,2.5
United 93,2006,3.0
Jesus Camp,2006,3.0
Inside Man,2006,2.5
The Lives of Others,2006,3.5
Cars,2006,3.5
Lucky Number Slevin,2006,3.0
Ghost in the Shell: Stand Alone Complex - Individual Eleven,2006,3.5
Little Miss Sunshine,2006,3.5
Munich,2005,4.0
V for Vendetta,2005,2.5
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,0.0
King Kong,2005,3.5
Æon Flux,2005,1.5
Syriana,2005,4.5
Harry Potter and the Goblet of Fire,2005,0.0
Jarhead,2005,2.5
Elizabethtown,2005,2.5
A History of Violence,2005,3.0
Flightplan,2005,2.5
Walk the Line,2005,3.0
Wallace & Gromit: The Curse of the Were-Rabbit,2005,3.0
Brokeback Mountain,2005,4.0
Syriana,2005,4.0
Grizzly Man,2005,3.5
The Island,2005,1.5
Fantastic Four,2005,1.5
One Man Band,2005,0.0
War of the Worlds,2005,3.5
Mr. & Mrs. Smith,2005,2.0
Batman Begins,2005,4.5
Star Wars: Episode III - Revenge of the Sith,2005,1.0
Kiss Kiss Bang Bang,2005,3.0
Match Point,2005,3.0
The Hitchhiker's Guide to the Galaxy,2005,1.5
Fever Pitch,2005,3.0
Sin City,2005,3.0
Jack-Jack Attack,2005,2.5
March of the Penguins,2005,3.0
Brick,2005,4.5
Ocean's Twelve,2004,3.5
Million Dollar Baby,2004,3.0
Closer,2004,2.5
The Place Promised in Our Early Days,2004,3.0
Howl's Moving Castle,2004,3.5
The Incredibles,2004,5.0
Sky Captain and the World of Tomorrow,2004,3.0
Hotel Rwanda,2004,3.5
Crash,2004,2.5
Collateral,2004,3.5
The Village,2004,2.5
The Bourne Supremacy,2004,3.5
Spider-Man 2,2004,3.5
Napoleon Dynamite,2004,3.0
Harry Potter and the Prisoner of Azkaban,2004,0.0
Word Wars,2004,3.0
House of Flying Daggers,2004,3.0
The Day After Tomorrow,2004,0.0
Troy,2004,1.5
Appleseed,2004,3.0
Kill Bill: Vol. 2,2004,5.0
Eternal Sunshine of the Spotless Mind,2004,4.0
Ghost in the Shell 2: Innocence,2004,0.0
The Machinist,2004,3.5
Spartan,2004,2.5
Super Size Me,2004,3.0
Primer,2004,4.0
Garden State,2004,3.0
Big Fish,2003,4.0
The Last Samurai,2003,2.5
The Lord of the Rings: The Return of the King,2003,3.5
Master and Commander: The Far Side of the World,2003,2.5
The Matrix Revolutions,2003,2.5
Boundin',2003,3.0
Mystic River,2003,4.0
School of Rock,2003,2.5
Kill Bill: Vol. 1,2003,4.5
Matchstick Men,2003,0.0
Girl with a Pearl Earring,2003,2.5
Lost in Translation,2003,4.5
Freaky Friday,2003,0.0
Terminator 3: Rise of the Machines,2003,2.5
Pirates of the Caribbean: The Curse of the Black Pearl,2003,3.5
The Italian Job,2003,0.0
Finding Nemo,2003,4.0
The Matrix Reloaded,2003,3.0
The Animatrix,2003,3.5
Identity,2003,2.5
X2,2003,3.5
The Core,2003,0.5
Dreamcatcher,2003,0.0
Chicago,2002,3.0
Catch Me If You Can,2002,3.5
The Lord of the Rings: The Two Towers,2002,4.0
The Matrix Reloaded,2003,3.5
Gangs of New York,2002,3.0
Star Trek: Nemesis,2002,0.0
Adaptation.,2002,3.0
Die Another Day,2002,0.0
Spellbound,2002,0.0
Harry Potter and the Chamber of Secrets,2002,0.0
28 Days Later,2002,3.5
Comedian,2002,3.5
Bowling for Columbine,2002,0.0
Signs,2002,2.5
Hero,2002,3.0
The Cat Returns,2002,3.0
Reign of Fire,2002,2.5
Men in Black II,2002,0.0
Minority Report,2002,3.0
The Bourne Identity,2002,4.0
Insomnia,2002,2.5
Punch-Drunk Love,2002,3.0
